ID,target
0,2.357299
1,4.232457
2,4.1411653
3,4.3776617
4,1.869595
5,4.128753
6,2.8459637
7,3.3115764
8,4.334883
9,4.8196917
10,4.2330527
11,4.2053022
12,4.163138
13,4.503665
14,3.1932595
15,2.2603178
16,1.7772889
17,2.9232779
18,4.0325446
19,4.1313076
20,3.901552
21,4.3769455
22,4.358913
23,4.5231733
24,4.89469
25,4.494179
26,4.378076
27,3.168982
28,4.0110254
29,1.5848712
30,4.4626455
31,3.9922833
32,4.447438
33,4.5033865
34,4.6108685
35,3.1861312
36,4.8048744
37,4.2305317
38,4.2199316
39,3.2692516
40,4.30665
41,2.8471062
42,1.9304744
43,2.2686076
44,4.364026
45,3.3720558
46,2.8763754
47,3.9551928
48,4.6159453
49,4.529436
50,3.022146
51,4.2286777
52,4.2701006
53,2.7518718
54,3.984148
55,4.390051
56,4.836609
57,4.4262776
58,4.0123115
59,4.49826
60,5.009113
61,4.0764885
62,4.07275
63,4.6504674
64,4.6604123
65,4.788618
66,4.4309697
67,4.488326
68,3.9890878
69,4.4525104
70,4.6902537
71,4.361675
72,4.403853
73,4.3401737
74,4.1477776
75,4.2097692
76,3.7078714
77,3.4455059
78,4.498167
79,4.4987826
80,3.9193242
81,4.5561295
82,4.3515315
83,2.7391694
84,4.488816
85,4.2024183
86,4.4602118
87,3.8895714
88,4.330696
89,3.0827396
90,4.3365602
91,4.302045
92,2.6962047
93,2.7799046
94,4.2123713
95,4.1263576
96,4.199917
97,3.8407722
98,4.190647
99,2.8537076
100,4.307978
101,3.834082
102,4.072181
103,4.3925376
104,4.5902414
105,4.3138094
106,4.445549
107,3.254937
108,4.5903864
109,3.7701852
110,1.613073
111,4.4429264
112,4.1701903
113,4.4708123
114,3.9145944
115,4.5518847
116,4.56445
117,4.363099
118,4.5871706
119,4.6328177
120,4.1200814
121,4.5876465
122,4.379686
123,3.9819336
124,4.329828
125,4.2656293
126,4.5468903
127,4.3793316
128,4.3092337
129,4.2380443
130,3.021669
131,2.6304977
132,3.9093585
133,0.5961009
134,4.790558
135,4.74652
136,4.935305
137,4.541319
138,4.8819394
139,4.4805436
140,3.0472622
141,4.2749023
142,2.6579256
143,3.894218
144,4.4484067
145,4.5559716
146,4.516532
147,4.4566708
148,3.6702588
149,2.6856225
150,3.8773894
151,4.429273
152,2.979937
153,1.5894284
154,4.447278
155,4.4379272
156,4.198407
157,4.6840577
158,4.016689
159,4.0291467
160,4.433901
161,1.6808159
162,4.1397424
163,4.2456927
164,4.2529674
165,4.44646
166,4.399438
167,1.4262879
168,4.556133
169,4.369321
170,4.4665995
171,4.403989
172,1.144526
173,2.8118143
174,4.339427
175,4.4059434
176,3.1925104
177,4.019668
178,4.3725934
179,2.7642798
180,4.0040393
181,4.072764
182,4.7571716
183,4.6008267
184,3.1497052
185,4.324919
186,2.8831623
187,4.0689063
188,4.889445
189,3.3149574
190,2.517277
191,4.2458615
192,4.589546
193,4.456439
194,4.1191616
195,4.5944643
196,2.54503
197,4.3605137
198,2.9005616
199,4.2592525
200,4.527845
201,4.6425815
202,4.4127483
203,3.0819905
204,4.4439797
205,4.479601
206,2.4575634
207,4.392821
208,4.4481826
209,4.5844383
210,4.638266
211,3.7979922
212,2.5715766
213,4.2769437
214,2.8640614
215,4.178593
216,4.380319
217,4.354735
218,3.1271052
219,4.1992426
220,4.340601
221,4.1981206
222,3.9427693
223,3.9239783
224,3.408044
225,4.2508144
226,4.5855684
227,4.242807
228,2.639026
229,4.347994
230,2.8356636
231,3.7899668
232,4.5206227
233,4.3370056
234,4.7451353
235,4.486632
236,4.1841784
237,3.9914145
238,4.475449
239,4.518751
240,4.766044
241,4.0036097
242,4.186363
243,3.8191202
244,1.8223215
245,1.6540205
246,4.438523
247,4.356767
248,4.143091
249,2.3290565
250,2.2594295
251,4.3105273
252,3.6545026
253,4.499543
254,3.1307442
255,2.652963
256,4.461862
257,3.2573204
258,2.9807253
259,4.5223637
260,4.346004
261,4.5564733
262,4.605076
263,4.503922
264,4.3358665
265,4.469264
266,4.133181
267,4.403984
268,4.586779
269,4.057247
270,4.408235
271,4.166141
272,4.098612
273,4.1508074
274,4.589462
275,4.2242885
276,4.17749
277,4.2798376
278,4.166477
279,4.4290705
280,4.671528
281,4.458776
282,4.4146414
283,4.8205457
284,3.6251197
285,3.9877279
286,4.0784607
287,2.5520813
288,3.4219472
289,4.225053
290,4.1880527
291,4.3649898
292,4.3395276
293,4.402584
294,1.155175
295,1.6074109
296,3.5020473
297,3.648268
298,4.511569
299,4.374269
300,4.0492306
301,4.7566185
302,4.476441
303,3.7117786
304,4.519901
305,3.3833585
306,4.4912677
307,4.548432
308,1.3114928
309,4.4784684
310,4.458955
311,2.595431
312,2.4057138
313,4.671376
314,4.372301
315,2.9247696
316,3.5729182
317,4.2824416
318,3.9664927
319,4.2922153
320,4.271328
321,4.2316623
322,4.293944
323,4.5423126
324,4.632543
325,4.068298
326,2.8922796
327,4.14598
328,4.652666
329,4.3867736
330,4.38593
331,4.3447256
332,4.3726683
333,4.1806855
334,2.2114623
335,4.3969207
336,4.495406
337,2.8698301
338,4.4037232
